,AAPl,MSFT,GOOG,AMZN,NVDA,TSLA,META,AVGO,COST,PEP,AMGN,TXN,AMD,TMUS,NFLX,CMCSA,AZN,CSCO,ASML,ADBE
37,66.07,152.03,65.68,89.85,54.25,21.93,198.97,316.27,301.24,135.7,224.5,119.13,38.99,78.45,312.49,43.55,48.76,45.31,271.47,307.9
38,66.96,152.32,65.65,90.93,54.56,22.09,202.0,318.44,300.76,135.91,225.51,121.73,39.41,78.98,315.93,44.42,48.77,45.24,271.48,309.06
39,66.81,151.38,65.25,90.04,54.19,22.0,201.64,316.21,299.81,135.83,227.82,120.21,39.15,78.55,314.66,44.15,48.48,45.31,270.62,309.53
40,66.04,149.55,64.5,89.08,52.31,22.32,199.7,310.72,297.39,135.88,230.74,118.79,38.73,77.64,309.99,43.63,48.38,44.7,265.59,302.75
41,64.86,149.31,64.76,88.5,51.92,22.41,198.82,306.52,295.67,135.46,234.54,117.75,38.9,78.01,306.16,43.65,47.89,44.28,264.84,303.91
42,65.44,149.85,66.03,88.03,52.36,22.2,198.71,309.72,296.52,137.3,234.39,120.28,39.69,78.34,304.32,43.51,48.2,43.89,269.76,302.51
43,66.4,149.93,66.41,87.02,52.19,22.02,199.36,311.19,293.1,136.34,234.54,120.74,39.62,76.94,302.86,44.04,47.62,43.52,273.84,303.03
44,67.68,151.75,67.03,87.58,53.04,22.39,201.05,316.05,294.95,137.36,234.72,122.37,39.63,77.74,307.35,44.24,47.68,43.84,280.09,306.23
45,66.73,151.75,67.18,87.48,53.04,22.64,201.34,314.38,295.16,137.16,233.48,122.0,38.93,75.87,302.5,43.89,47.77,43.9,277.52,307.05
46,67.12,151.13,67.23,86.96,53.5,23.26,200.87,315.06,295.78,136.27,232.77,121.37,39.44,75.02,293.12,42.77,47.98,44.1,279.11,304.17
47,67.69,151.7,67.25,87.44,54.34,23.51,202.26,319.72,295.3,137.1,233.88,123.72,39.47,74.62,298.93,42.07,48.19,44.28,284.04,303.74
48,67.86,153.24,67.51,88.02,56.02,23.98,196.75,327.8,297.34,137.18,233.41,126.07,42.59,74.89,298.44,43.01,47.92,45.67,287.24,305.96
49,68.79,154.53,67.39,88.05,56.0,23.89,194.11,315.42,291.87,137.94,233.77,126.64,41.15,75.47,298.5,43.58,48.36,45.3,289.89,317.94
50,69.97,155.53,68.06,88.46,56.29,25.43,197.92,323.13,293.5,137.06,232.82,127.07,42.35,75.47,304.21,43.53,49.31,45.98,292.97,323.8
51,70.1,154.69,67.76,89.53,57.07,25.27,198.39,323.8,295.55,136.17,233.84,127.09,42.77,75.49,315.48,43.39,48.97,46.44,294.84,322.85
52,69.94,154.37,67.63,89.2,57.38,26.21,202.5,327.44,291.87,135.97,234.01,126.35,42.3,76.31,320.8,43.19,49.24,46.64,292.16,324.38
53,70.01,155.71,67.8,89.61,58.87,26.94,206.06,324.1,293.71,136.47,235.99,126.4,42.83,77.22,332.22,43.64,49.97,47.88,291.82,327.63
54,69.86,157.41,67.48,89.33,59.84,27.04,206.3,319.0,294.83,137.92,236.74,128.95,44.15,77.4,336.9,44.09,50.46,47.45,293.59,327.61
55,71.0,157.41,67.44,89.65,59.71,27.95,206.18,319.53,293.31,137.04,243.2,128.55,45.46,76.96,333.1,44.1,49.89,48.1,296.14,328.95
56,71.07,157.38,67.18,89.46,59.66,28.35,205.12,320.5,294.23,136.89,242.84,128.53,46.54,77.32,333.2,44.53,49.87,47.78,294.93,329.64
57,72.48,158.67,68.02,93.44,59.8,28.73,207.79,317.98,295.73,136.69,241.94,128.48,46.63,77.4,332.63,44.97,49.85,47.85,296.34,331.2
58,72.45,158.96,67.59,93.49,59.22,28.69,208.1,316.53,294.11,137.54,241.84,128.57,46.18,77.24,329.09,45.1,50.44,47.77,296.67,330.79
59,72.88,157.59,66.81,92.34,58.08,27.65,204.41,313.46,295.14,136.81,243.06,127.66,45.52,78.08,323.31,45.18,50.01,47.59,294.89,328.34
60,73.41,157.7,66.85,92.39,58.83,27.89,205.25,316.02,293.92,136.67,243.03,128.29,45.86,78.42,323.57,44.97,49.86,47.96,295.94,329.81
61,75.09,160.62,68.37,94.9,59.98,28.68,209.78,322.39,291.49,135.82,243.03,129.57,49.1,78.59,329.81,45.37,50.39,48.42,302.83,334.43
62,74.36,158.62,68.03,93.75,59.02,29.53,208.67,314.19,291.73,135.63,241.9,127.85,48.6,78.17,325.9,45.01,50.09,47.63,297.95,331.81
63,74.95,159.03,69.71,95.14,59.27,30.1,212.6,313.72,291.81,136.15,241.53,126.96,48.39,78.62,335.83,44.67,49.88,47.8,295.58,333.71
64,74.6,157.58,69.67,95.34,59.98,31.27,213.06,312.64,291.35,134.01,240.27,129.41,48.25,78.92,330.75,44.93,50.07,47.49,298.79,333.39
65,75.8,160.09,70.22,94.6,60.1,32.81,215.22,308.74,294.69,134.7,241.07,129.76,47.83,79.42,339.26,45.39,49.95,47.52,301.89,337.87
66,77.41,162.09,70.99,95.05,60.76,32.09,218.3,306.26,299.42,134.79,240.1,131.33,48.97,79.81,335.66,45.51,50.08,47.32,301.38,340.45
67,77.58,161.34,71.49,94.16,61.08,31.88,218.06,299.22,297.24,134.53,238.47,130.0,48.17,79.0,329.05,44.98,49.85,47.13,296.18,339.81
68,79.24,163.28,71.96,94.57,63.0,34.99,221.91,301.18,299.87,136.53,240.3,129.95,48.75,79.4,338.92,45.8,49.67,47.97,301.45,345.63
69,78.17,162.13,71.54,93.47,61.82,35.86,219.06,308.18,299.75,136.85,238.04,130.67,48.21,79.8,338.69,46.03,50.18,47.79,302.55,344.63
70,77.83,163.18,71.96,93.1,61.39,34.57,221.15,303.14,300.82,139.2,238.22,129.17,48.55,80.27,339.07,46.28,50.8,48.01,300.08,342.94
71,78.81,166.17,72.58,93.9,62.23,34.23,221.77,307.05,303.03,139.61,238.93,130.16,49.77,81.44,338.62,46.87,50.51,49.05,301.08,345.38
72,79.68,167.1,74.02,93.24,62.32,34.03,222.14,308.79,304.68,141.26,238.26,131.7,50.93,82.15,339.67,47.5,51.33,49.02,300.04,349.74
73,79.14,166.5,74.22,94.6,61.99,36.48,221.44,308.07,313.26,141.86,236.92,130.86,51.05,82.03,338.11,47.3,50.8,48.8,298.4,350.0
74,79.43,165.7,74.3,94.37,62.51,37.97,221.32,312.88,311.89,143.38,240.0,133.34,51.43,82.48,326.0,47.44,50.45,49.06,296.25,350.06
75,79.81,166.72,74.33,94.23,63.22,38.15,219.76,319.65,312.88,143.65,241.7,134.25,51.71,82.18,349.6,45.65,50.2,49.0,294.32,351.76
76,79.58,165.04,73.34,93.08,62.62,37.65,217.94,324.0,310.51,142.92,240.5,130.52,50.35,81.58,353.16,44.59,49.28,48.85,295.83,351.37
77,77.24,162.28,71.69,91.42,60.05,37.2,214.87,309.03,309.45,142.14,241.49,126.31,49.26,80.72,342.88,44.0,48.9,47.47,284.28,346.9
78,79.42,165.46,72.63,92.66,61.99,37.79,217.79,318.31,310.85,142.44,236.75,128.04,50.53,81.66,348.52,44.04,49.6,47.77,290.18,354.63
79,81.08,168.04,72.93,92.9,61.39,38.73,223.23,317.51,309.58,141.73,235.04,125.49,47.51,80.26,343.16,43.32,49.66,47.05,296.14,351.66
