,AAPl,MSFT,GOOG,AMZN,NVDA,TSLA,META,AVGO,COST,PEP,AMGN,TXN,AMD,TMUS,NFLX,CMCSA,AZN,CSCO,ASML,ADBE
163,79.49,183.25,71.45,122.12,88.76,55.67,225.09,291.27,308.47,131.55,222.4,118.74,53.8,100.04,419.73,39.6,54.6,47.82,329.51,386.6
164,80.46,182.83,71.59,123.55,88.06,59.87,231.91,289.99,308.29,132.99,224.81,117.86,53.63,99.7,425.92,40.18,55.16,46.3,326.73,389.68
165,80.83,184.91,71.96,123.62,88.25,58.77,232.72,298.06,307.09,132.63,224.13,122.67,53.54,100.41,427.31,40.78,54.72,46.89,334.73,390.44
166,81.28,185.36,71.82,123.92,87.7,58.86,230.16,309.53,306.64,132.82,229.7,127.21,52.73,101.21,421.97,41.3,55.0,46.94,346.3,389.92
167,80.58,182.92,70.61,123.03,87.67,57.63,226.29,308.89,310.75,130.57,226.91,128.58,52.63,100.17,414.33,41.29,53.87,46.86,353.11,385.8
168,82.88,187.2,71.92,124.15,89.2,59.04,230.77,317.08,312.04,132.44,223.72,131.44,53.1,101.13,419.6,42.09,53.85,47.83,357.22,392.9
169,83.37,188.36,72.33,126.2,88.05,63.33,231.4,317.52,307.19,132.21,221.0,132.86,52.97,104.46,419.49,43.12,52.58,48.13,349.25,397.78
170,86.0,189.8,72.81,130.04,90.46,62.71,238.67,315.32,305.55,132.97,220.88,132.12,56.39,103.19,434.05,42.15,52.73,48.05,349.33,397.16
171,88.21,196.84,73.29,132.37,93.67,68.34,236.73,315.04,307.33,134.13,225.67,131.4,57.44,105.79,434.48,41.36,53.64,47.42,347.92,406.82
172,83.98,186.27,70.19,127.9,87.96,64.86,224.43,293.75,300.83,127.84,225.75,124.61,52.83,100.89,425.56,39.25,51.57,43.67,332.89,387.67
173,84.7,187.74,70.66,127.25,89.33,62.35,228.58,300.25,298.7,129.0,224.9,123.97,53.5,102.31,418.07,39.46,51.47,45.07,343.07,406.54
174,85.75,188.94,70.99,128.63,91.74,66.06,232.5,304.09,297.18,130.48,227.12,124.23,54.68,104.68,425.5,39.83,52.64,45.35,350.01,401.34
175,88.02,193.57,72.14,130.76,90.69,65.48,235.65,310.72,301.36,131.67,218.9,126.11,54.46,102.89,436.13,39.75,53.58,46.48,352.05,411.67
176,87.9,194.24,72.56,132.05,92.36,66.12,235.53,313.44,299.61,131.76,217.9,126.22,54.55,102.63,447.77,39.22,53.9,46.17,362.41,413.49
177,87.93,196.32,71.8,132.7,92.18,66.93,235.94,318.71,299.57,132.78,217.9,125.98,54.04,106.39,449.87,39.44,52.66,45.83,358.88,420.46
178,87.43,195.15,71.59,133.75,92.61,66.73,238.79,302.77,299.9,131.28,226.87,124.89,54.23,106.9,453.72,39.1,53.02,45.32,360.67,428.01
179,89.72,200.57,72.59,135.69,95.27,66.29,239.22,313.54,300.45,131.05,225.97,125.23,54.76,106.6,468.04,38.44,53.42,45.16,364.29,438.64
180,91.63,201.91,73.22,138.22,94.5,66.79,242.24,311.3,301.29,131.36,230.32,126.62,53.99,107.16,466.26,39.2,54.25,45.47,366.64,440.55
181,90.02,197.84,71.6,136.72,92.36,64.06,234.02,306.97,298.02,129.56,238.7,123.99,52.39,108.43,457.85,38.56,52.13,44.75,361.58,431.68
182,91.21,200.34,72.07,137.73,94.9,65.73,235.68,308.85,300.53,131.41,234.19,125.06,51.93,110.19,465.91,38.57,53.01,45.22,366.55,436.95
183,88.41,196.33,68.0,134.64,91.55,63.98,216.08,307.41,296.56,128.93,235.75,123.37,50.1,105.2,443.4,38.65,52.7,46.31,361.76,426.92
184,90.45,198.44,69.75,134.02,92.0,67.29,220.64,309.78,301.59,131.08,232.51,124.77,50.28,105.96,447.24,38.94,52.91,46.15,364.81,424.2
185,91.2,203.51,70.68,137.94,94.98,71.99,227.07,315.61,303.21,132.26,235.11,126.97,52.61,104.15,455.04,38.98,52.89,46.64,368.03,435.31
186,91.03,204.7,71.9,143.94,95.3,74.64,237.55,312.73,304.75,132.36,232.84,124.8,52.58,106.13,485.64,39.7,53.32,46.06,367.59,439.81
187,91.03,206.26,73.24,144.51,96.12,80.58,233.42,315.47,305.74,132.85,231.56,125.81,52.34,106.01,476.89,39.25,53.8,45.63,373.22,442.95
188,93.46,210.7,74.79,152.85,98.39,91.44,240.28,318.79,311.49,133.3,235.86,129.53,53.4,106.78,493.81,40.33,54.1,46.42,385.46,452.59
189,93.17,208.25,74.26,150.01,98.72,92.66,240.86,313.12,316.23,133.57,255.12,128.6,52.93,105.8,493.16,40.07,53.47,45.63,382.02,449.36
190,95.34,212.83,74.8,154.06,102.16,91.06,243.58,319.57,316.32,134.22,255.12,129.26,53.43,106.61,502.78,39.74,54.19,45.81,391.93,457.68
191,95.68,214.32,75.55,159.13,105.09,92.95,244.5,321.5,325.54,132.71,256.25,130.43,57.26,106.17,507.76,39.29,53.97,46.7,394.53,460.84
192,95.92,213.67,77.09,160.0,104.79,102.98,245.07,319.44,326.23,134.46,253.15,130.53,55.88,107.05,548.73,40.51,53.76,46.66,395.85,466.2
193,95.48,207.07,75.57,155.2,100.52,99.8,239.0,311.31,322.92,134.91,251.59,128.82,53.59,104.52,525.5,40.54,53.24,45.93,388.62,442.47
194,97.06,208.35,76.03,154.2,103.77,101.12,239.73,315.08,328.0,135.52,251.66,131.89,54.72,105.39,524.88,41.18,53.98,46.26,396.83,433.78
195,97.73,208.04,75.68,150.44,102.27,103.07,240.28,313.78,326.7,133.69,249.04,132.15,55.34,104.92,523.26,41.96,58.0,46.4,375.43,433.01
196,96.52,203.92,75.9,150.0,101.35,100.04,240.93,311.34,326.27,133.88,250.04,132.18,54.92,104.49,527.39,42.14,57.43,45.78,385.22,426.29
197,96.33,202.88,75.78,148.1,102.02,100.06,242.03,312.71,324.79,134.66,253.09,133.89,55.04,105.35,492.99,42.18,61.1,46.75,383.59,432.42
198,98.36,211.6,78.29,159.84,105.11,109.53,245.42,317.13,326.51,133.11,253.31,136.58,57.46,106.14,502.41,41.95,58.68,46.97,391.48,455.27
199,97.0,208.75,77.92,156.91,103.29,104.56,241.75,314.34,327.74,134.43,255.2,135.48,57.0,105.58,490.1,42.57,58.07,47.02,383.82,444.28
200,97.27,211.75,78.42,155.0,104.39,106.16,239.87,313.8,328.3,136.01,258.46,132.53,61.79,104.93,489.82,42.57,56.98,46.9,392.6,445.05
201,92.85,202.54,75.78,149.33,101.3,100.87,232.6,309.67,326.11,137.08,260.95,129.04,59.57,104.51,477.58,42.49,55.17,47.41,384.23,431.74
202,92.62,201.3,75.59,150.45,101.95,94.47,230.71,305.79,325.78,136.06,257.91,129.63,69.4,104.93,480.45,43.35,55.8,46.4,367.68,430.31
203,94.81,203.85,76.51,152.76,104.22,102.64,233.5,312.68,327.6,137.67,256.98,132.12,68.97,105.62,495.65,43.56,56.58,47.19,381.78,437.1
204,93.25,202.02,75.02,150.02,102.16,98.43,230.12,307.35,327.57,137.38,252.24,130.13,67.61,104.52,488.51,43.21,56.32,46.28,376.36,432.26
205,95.04,204.06,76.1,151.68,104.66,99.94,233.29,308.85,326.14,137.93,247.98,131.64,76.09,105.78,484.48,43.9,56.64,46.71,364.62,436.3
206,96.19,203.9,76.57,152.59,106.14,99.17,234.5,312.1,324.82,137.69,253.65,128.89,78.2,105.48,485.8,43.67,57.89,46.44,362.73,438.88
207,106.26,205.01,74.15,158.23,106.15,95.38,253.67,316.75,325.53,137.66,255.27,127.55,77.43,107.38,488.88,42.8,55.78,47.1,353.72,444.32
208,108.94,216.54,73.72,155.59,110.1,99.0,251.96,321.23,329.32,136.7,248.85,129.32,77.67,106.88,498.62,42.88,56.82,47.16,366.61,447.97
209,109.67,213.29,73.25,156.94,112.28,99.13,249.83,328.39,339.79,137.47,246.14,132.23,85.04,108.39,509.64,43.21,56.08,47.67,370.33,446.92
210,110.06,212.94,73.68,160.25,112.87,99.0,249.12,329.54,339.97,136.25,244.67,132.7,85.31,107.9,502.11,42.29,55.95,47.33,368.51,449.51
211,113.9,216.35,75.01,161.25,113.36,99.31,265.28,329.16,343.31,135.86,247.36,133.74,86.71,108.1,509.08,42.87,56.21,47.77,369.23,464.11
212,111.11,212.48,74.72,158.37,112.0,96.85,268.44,325.93,340.91,136.74,243.59,133.56,84.85,115.09,494.73,42.81,55.41,47.43,366.07,449.57
213,112.73,208.25,74.81,157.41,111.65,94.57,263.0,327.36,340.0,135.98,241.47,135.41,82.24,116.07,483.38,43.02,55.38,47.73,365.41,443.29
214,109.38,203.38,74.02,154.03,108.5,91.63,256.13,324.03,332.43,135.12,241.55,136.04,76.88,113.59,466.93,42.99,55.18,47.19,361.31,435.23
215,113.01,209.19,75.33,158.11,114.4,103.65,259.89,333.64,336.76,137.8,240.69,138.64,82.61,115.25,475.47,43.34,56.74,48.1,374.81,445.36
216,115.01,208.7,75.92,158.05,114.43,108.07,261.3,329.42,335.7,138.1,238.17,137.15,81.84,115.37,481.33,43.39,55.8,42.72,374.76,450.02
217,114.91,208.9,75.39,157.4,115.64,110.05,261.24,327.82,336.28,137.56,234.65,137.35,81.3,115.49,482.68,43.77,55.19,42.5,371.1,447.6
218,114.61,210.28,75.9,159.12,123.37,122.38,261.16,330.32,339.96,137.92,241.72,138.28,82.42,116.87,482.35,43.53,56.46,42.09,378.51,451.58
219,115.56,211.49,77.93,165.62,122.61,125.81,262.34,328.64,340.75,138.11,240.46,139.31,81.66,116.02,491.87,43.54,56.33,41.98,377.22,463.51
220,115.71,209.7,77.38,163.02,121.39,125.24,262.59,329.21,340.9,136.45,239.71,138.48,81.09,115.14,484.53,43.32,56.23,41.87,374.94,462.01
221,118.28,214.58,79.09,164.87,121.41,133.46,269.01,328.83,340.87,136.72,243.01,138.57,82.77,115.4,497.9,43.27,56.49,42.31,372.17,478.48
222,124.37,213.02,79.02,164.24,126.84,136.67,267.01,330.02,344.61,136.46,241.5,140.33,83.81,115.01,492.31,43.07,55.71,42.25,372.12,473.22
223,125.86,213.69,79.41,165.37,127.2,134.28,271.39,334.0,344.13,137.64,240.49,141.02,83.08,115.26,488.81,43.8,56.76,42.18,377.99,476.3
224,124.83,216.47,80.41,167.32,127.5,134.89,280.82,336.14,344.71,137.3,238.73,141.66,86.35,115.41,490.58,43.41,57.01,41.96,380.83,484.43
225,126.52,221.15,82.62,172.09,127.73,143.54,303.91,339.67,344.27,138.47,237.64,142.45,86.02,116.19,547.53,44.2,57.0,42.25,385.92,528.49
226,125.01,226.58,81.72,170.0,126.28,149.25,293.22,339.14,346.36,138.4,235.57,141.49,83.8,115.24,526.27,44.54,56.11,42.29,376.22,510.32
227,124.81,228.91,82.22,170.09,131.48,147.56,293.66,344.82,348.37,139.94,248.22,143.49,85.55,116.26,523.89,44.56,55.69,42.2,379.47,516.44
228,129.04,225.53,81.71,172.55,133.75,166.11,293.2,347.15,347.66,140.06,250.18,142.15,90.82,116.68,529.56,44.81,56.0,42.22,374.18,513.39
229,134.18,227.27,83.04,174.96,138.21,158.35,295.44,359.54,351.38,139.19,252.81,144.96,92.18,116.9,556.55,45.05,55.38,42.03,386.9,527.95
230,131.4,231.65,86.41,176.57,143.47,149.12,302.5,375.01,358.86,143.29,253.12,147.64,90.22,118.88,552.84,45.17,55.9,42.42,398.49,533.8
231,120.88,217.3,82.09,168.4,130.16,135.67,291.12,352.09,348.3,139.37,253.32,141.67,82.54,114.84,525.75,44.44,54.16,40.95,376.16,507.8
232,120.96,214.25,79.55,164.73,126.23,139.44,282.73,362.95,346.57,138.76,250.86,140.47,82.01,114.29,516.05,44.43,53.58,40.82,367.42,491.94
233,112.82,202.66,76.62,157.49,119.13,110.07,271.16,350.54,338.86,135.55,258.12,136.04,78.69,111.57,507.02,43.81,54.71,40.0,347.35,462.13
234,117.32,211.29,77.85,163.43,127.15,122.09,273.72,360.03,346.43,137.11,247.91,139.68,81.91,113.2,500.19,44.6,53.64,40.13,359.37,479.46
235,113.49,205.37,76.6,158.76,123.12,123.78,268.09,357.08,339.53,134.76,248.4,137.19,78.98,111.72,480.67,44.02,53.07,39.57,357.0,476.26
236,112.0,204.03,76.04,155.81,121.65,124.24,266.61,359.7,339.13,135.81,241.18,136.37,76.34,111.58,482.03,44.67,53.73,39.88,359.23,471.35
237,115.36,205.41,75.96,155.15,128.72,139.87,266.15,362.2,342.92,136.67,245.57,138.53,77.9,112.27,476.26,45.27,54.02,40.37,367.94,485.91
238,115.54,208.78,77.07,157.81,129.91,149.92,272.42,366.91,343.91,135.62,240.64,140.64,78.93,115.93,495.99,46.46,55.28,40.6,370.25,497.67
239,112.13,205.05,76.05,153.91,125.15,147.25,263.52,367.04,343.73,134.98,243.21,139.68,76.66,113.76,483.86,46.81,55.13,40.42,362.38,476.0
240,110.34,202.91,74.78,150.44,124.64,141.14,254.82,365.92,338.88,133.2,246.75,140.4,76.55,111.91,470.2,45.58,55.94,40.37,366.74,474.3
241,106.84,200.39,73.0,147.75,121.89,147.38,252.53,359.73,335.96,131.47,248.35,138.66,74.93,110.72,469.96,45.26,56.45,39.81,366.34,467.55
242,110.08,202.54,71.56,148.02,125.17,149.8,248.15,351.79,339.57,131.24,247.76,136.98,77.94,110.57,487.35,44.68,55.91,39.04,362.62,475.64
243,111.81,207.42,73.27,156.45,126.38,141.41,254.75,361.59,344.45,132.15,248.08,138.65,77.7,112.39,491.17,46.19,55.44,39.32,364.64,486.78
244,107.12,200.59,70.76,149.99,121.24,126.79,249.02,351.59,344.63,131.0,247.72,135.16,74.73,109.0,470.61,45.36,55.66,38.28,357.56,470.39
245,108.22,203.19,71.41,150.99,123.48,129.26,249.53,352.52,347.0,131.58,243.19,136.69,75.82,110.55,473.08,45.7,54.17,37.85,360.16,467.67
246,112.28,207.82,72.25,154.76,128.74,135.78,254.82,356.8,342.58,133.55,243.19,138.32,78.06,112.02,482.88,46.15,54.17,38.45,360.48,479.78
247,114.96,209.44,73.23,158.7,130.35,140.4,256.82,367.3,349.62,137.97,242.59,141.94,79.48,114.24,490.65,46.76,54.75,39.13,371.06,488.51
248,114.09,207.26,73.47,157.24,132.26,139.69,261.79,364.26,352.14,137.16,242.59,141.5,81.77,113.52,493.48,46.2,55.11,39.06,374.0,489.33
249,115.81,210.33,73.48,157.44,135.31,143.0,261.9,364.32,355.0,138.6,247.03,142.79,81.99,114.36,500.03,46.26,54.8,39.39,369.27,490.43
250,116.79,212.46,74.5,161.06,136.15,149.39,266.63,368.6,358.46,140.8,248.3,144.91,84.86,115.73,527.51,46.44,54.3,38.8,382.01,499.51
251,113.02,206.19,72.92,156.25,130.62,138.36,259.94,356.83,355.01,138.06,254.16,141.09,81.8,113.41,503.06,45.15,54.22,38.27,370.0,478.99
252,116.5,210.38,74.3,159.96,136.43,141.89,264.65,366.1,358.58,137.93,255.39,144.08,86.15,114.8,520.65,45.81,54.49,38.57,382.11,486.47
253,113.16,205.91,72.67,155.0,137.37,137.99,258.66,363.98,358.35,135.7,245.41,143.85,84.48,112.45,505.87,44.51,53.71,38.57,370.11,478.98
254,115.08,209.83,73.01,159.78,139.64,141.77,258.12,366.74,363.02,137.01,256.01,146.75,86.69,114.22,534.66,44.96,53.53,39.4,375.8,493.15
255,114.97,210.58,74.3,159.53,138.39,141.97,263.76,373.33,365.09,137.85,252.69,148.06,86.51,115.49,531.79,45.3,54.09,39.79,380.89,490.84
256,116.97,215.81,75.76,164.33,137.63,144.67,264.45,376.7,369.46,138.44,257.67,150.91,83.1,117.23,539.44,44.85,54.72,39.85,388.99,502.16
257,124.4,221.4,78.46,172.15,142.26,147.43,275.75,382.43,376.48,142.13,240.09,154.9,84.29,120.07,539.81,45.99,55.27,40.36,399.04,510.89
258,121.1,222.86,78.58,172.18,142.48,148.88,276.14,381.49,380.68,143.54,236.7,154.49,85.28,121.57,554.09,45.89,54.48,39.81,405.15,514.31
259,121.19,220.86,78.4,168.19,140.95,153.77,271.82,380.3,378.34,142.52,239.51,152.77,84.21,116.67,541.45,45.28,53.19,39.89,398.03,506.31
260,120.71,219.66,77.96,166.93,139.7,149.63,266.72,379.93,376.58,141.43,239.34,152.55,83.13,115.3,541.94,45.11,52.55,39.97,386.57,501.15
261,119.02,219.66,78.65,163.64,138.12,146.56,265.93,378.65,381.54,141.73,237.65,153.12,83.17,114.96,530.79,45.56,53.03,40.16,386.9,502.82
262,115.98,214.22,76.73,160.36,134.98,143.61,261.4,375.77,375.56,139.68,235.01,150.76,82.0,112.75,530.72,44.33,52.44,39.3,385.31,495.2
263,117.51,214.65,77.8,160.85,136.46,140.65,267.56,376.99,378.31,139.71,235.72,150.83,81.56,113.07,525.42,44.27,52.19,39.2,384.96,494.58
264,116.87,214.8,79.67,159.25,135.25,140.88,278.73,372.05,377.82,139.6,230.71,146.13,79.2,112.42,489.05,44.52,51.57,39.06,383.0,495.96
265,115.75,214.89,80.77,158.82,133.61,141.93,278.12,373.37,375.75,139.61,231.1,148.22,79.42,111.64,485.23,45.11,51.96,38.82,375.5,483.6
266,115.04,216.23,82.05,160.22,135.9,140.21,284.79,372.72,374.6,139.56,228.97,149.96,81.96,112.38,488.28,45.06,52.0,38.82,378.56,488.5
267,115.05,210.08,79.52,160.35,131.41,140.09,277.11,363.04,370.71,138.06,227.98,145.95,82.23,111.78,488.24,43.77,53.07,37.67,367.49,475.2
268,116.6,213.25,80.21,164.32,133.97,141.56,283.29,359.6,372.72,139.12,227.16,147.12,78.88,112.82,488.93,43.44,52.48,36.87,366.37,478.56
269,111.2,202.68,75.83,158.14,126.27,135.34,267.67,347.21,364.96,134.17,224.89,143.0,76.4,109.8,486.24,41.98,50.98,35.71,362.86,456.97
270,115.32,204.72,78.36,160.55,130.24,136.94,280.83,355.01,364.86,133.99,223.46,146.19,78.02,109.51,504.21,43.06,51.07,35.69,370.86,461.11
271,108.86,202.47,81.05,151.81,125.34,129.35,263.11,349.63,357.62,133.29,216.38,144.59,75.29,109.57,475.74,42.24,50.16,35.9,361.21,447.1
272,108.77,202.33,81.3,150.22,125.81,133.5,261.36,351.25,364.39,135.15,217.82,145.6,74.7,110.39,484.12,41.4,50.62,35.9,365.21,444.94
273,110.44,206.43,82.51,152.42,130.2,141.3,265.3,353.76,371.96,137.04,216.94,147.3,76.58,111.12,487.22,42.62,51.7,36.68,372.06,454.02
274,114.95,216.39,87.46,162.06,137.94,140.33,287.38,364.63,376.17,137.86,220.21,152.03,81.35,116.02,496.95,43.7,55.04,36.57,383.0,487.23
275,119.03,223.29,88.17,166.1,141.6,146.03,294.68,380.87,385.23,138.05,220.06,155.56,83.0,117.26,513.76,44.35,55.16,37.23,398.19,496.47
276,118.69,223.72,88.09,165.57,145.62,143.32,293.41,380.62,385.66,138.38,230.33,157.74,85.88,123.56,514.73,44.53,55.52,37.53,406.24,494.63
277,116.32,218.39,88.15,157.19,136.31,140.42,278.77,375.54,365.0,138.45,231.97,156.22,83.12,122.78,470.5,47.18,54.05,38.2,406.33,471.14
278,115.97,211.01,87.02,151.75,127.7,136.79,272.43,363.13,366.62,141.72,231.67,151.49,77.99,121.72,480.24,47.77,56.57,38.72,399.3,452.0
279,119.49,216.55,87.64,156.87,134.18,139.04,276.48,375.92,372.92,143.9,235.0,155.7,81.28,125.15,490.76,47.67,58.02,39.33,418.05,467.75
280,119.21,215.44,87.49,155.51,134.57,137.25,275.08,370.2,375.71,143.84,241.6,154.5,81.84,126.81,486.77,47.98,56.84,38.67,412.72,462.58
281,119.26,216.51,88.85,156.44,132.97,136.17,276.95,373.5,378.84,144.71,240.69,156.65,81.43,128.23,482.84,49.0,57.38,41.4,419.59,469.34
282,120.3,217.23,89.07,156.55,135.15,136.03,278.96,380.81,379.79,145.76,237.14,158.31,83.73,128.65,479.1,49.54,56.29,42.54,426.51,460.95
283,119.39,214.46,88.51,156.78,134.22,147.2,275.0,380.6,381.92,145.24,237.36,155.5,83.36,129.0,480.63,49.78,54.96,41.88,426.48,467.95
284,118.03,211.08,87.34,155.27,134.29,162.21,271.97,380.62,382.23,143.38,236.66,153.55,82.54,127.85,481.79,49.14,53.99,41.32,423.81,459.47
285,118.64,212.42,88.2,155.85,134.4,166.42,272.94,384.33,383.54,143.32,232.44,157.27,85.54,129.19,484.67,49.48,54.03,41.17,423.36,466.41
286,117.34,210.39,87.11,154.97,130.88,163.2,269.7,383.33,381.12,143.42,227.76,156.82,84.64,129.68,488.24,49.17,55.3,40.97,423.59,462.92
287,113.85,210.11,86.74,154.92,131.4,173.95,268.43,387.0,381.71,143.02,224.67,157.42,85.31,127.88,476.62,49.81,54.7,41.64,427.15,460.61
288,115.17,213.86,88.44,155.9,129.58,185.13,276.92,392.23,384.22,144.03,223.17,159.35,85.07,128.06,482.88,52.34,53.57,42.61,424.27,462.7
289,116.03,213.87,88.57,159.25,132.35,191.33,275.59,390.83,387.75,144.16,222.22,157.6,86.71,128.74,485.0,51.8,52.6,42.5,423.48,470.08
290,116.59,215.23,89.66,159.77,132.61,195.25,277.81,394.95,388.39,144.6,220.46,158.99,87.19,131.9,491.36,51.75,52.61,42.7,437.77,477.03
291,119.05,214.07,88.04,158.4,134.01,189.2,276.97,401.58,391.77,144.23,220.31,161.25,92.66,132.94,490.7,50.24,52.94,43.02,437.73,478.47
292,122.72,216.21,89.91,161.0,133.9,194.92,286.55,404.57,387.56,146.07,224.81,163.49,92.63,133.73,504.58,51.02,52.98,43.54,449.24,479.15
293,123.08,215.37,91.4,160.18,135.45,189.61,287.52,403.73,383.5,144.62,222.04,162.72,93.74,133.14,503.38,51.05,53.39,43.89,451.0,481.26
294,122.94,214.24,91.34,159.34,133.96,197.79,281.85,399.8,374.05,144.45,225.08,161.98,92.31,131.19,497.52,51.59,52.78,44.11,452.9,484.28
295,122.25,214.36,91.4,158.13,135.58,199.68,279.7,411.68,373.43,145.85,226.56,166.52,94.04,131.8,498.31,51.69,53.74,44.38,464.39,486.0
296,123.75,214.29,90.97,157.9,136.07,213.92,285.58,420.89,373.33,145.37,226.91,166.29,94.07,132.96,515.78,51.93,54.26,44.35,469.73,492.25
297,124.38,216.01,90.93,158.86,133.5,216.63,283.4,423.41,377.6,145.52,229.21,166.68,92.92,133.15,512.66,51.41,54.72,44.37,468.57,495.28
298,121.78,211.8,89.21,155.21,129.31,201.49,277.92,416.22,374.29,145.69,226.45,162.76,89.83,131.12,493.6,51.26,54.04,44.69,452.89,483.74
299,123.24,210.52,88.77,155.07,129.72,209.02,277.12,410.04,372.79,144.67,228.94,162.0,91.66,130.56,501.09,50.48,53.89,44.32,457.8,476.87
300,122.41,213.26,89.09,155.82,130.13,203.33,273.55,405.82,375.1,144.97,229.85,160.61,91.65,131.23,503.22,50.93,54.27,44.32,452.63,475.91
301,121.78,214.2,88.0,157.85,133.09,213.28,274.19,411.8,374.38,144.23,228.16,160.12,94.78,129.36,522.42,50.99,50.03,44.24,452.99,486.42
302,127.88,214.13,88.39,158.26,133.6,211.08,275.55,418.06,371.88,144.77,227.4,162.38,97.12,130.0,519.78,51.51,50.83,44.72,469.3,482.64
303,127.81,219.28,88.15,162.05,132.43,207.59,275.67,424.9,369.44,144.89,229.46,162.12,96.85,129.81,524.83,51.43,50.93,44.72,471.53,489.9
304,128.7,219.42,87.4,161.8,133.41,218.63,274.48,426.1,370.29,145.71,230.53,162.69,96.84,130.01,532.9,51.36,50.79,44.82,477.3,495.36
305,126.66,218.59,86.55,160.08,132.72,231.67,276.4,434.56,367.0,146.93,228.44,164.07,95.92,131.92,534.45,50.9,50.21,45.44,477.24,502.95
306,128.23,222.59,86.97,160.31,133.32,216.62,272.79,428.88,364.97,145.4,231.24,162.43,93.23,130.22,528.91,50.37,49.68,44.88,472.26,498.39
307,131.88,223.94,86.18,160.33,132.78,213.45,267.09,433.1,362.03,144.02,228.49,162.52,93.16,132.25,527.33,50.02,48.73,44.69,476.18,504.17
308,130.96,221.02,86.62,159.26,130.09,215.33,268.11,425.46,361.89,144.41,227.31,160.98,91.55,132.23,514.48,50.04,48.77,44.38,474.62,496.91
309,131.97,222.75,86.94,158.63,129.94,220.59,267.4,431.46,364.58,145.06,220.99,161.64,91.81,132.92,513.97,50.38,48.52,44.54,483.09,499.86
310,136.69,224.96,88.8,164.2,129.0,221.23,277.0,431.88,371.06,146.91,222.94,161.47,91.6,133.0,519.12,51.11,49.38,44.92,480.24,498.95
311,134.87,224.15,87.94,166.1,129.43,222.0,276.78,429.04,372.72,147.42,222.93,161.18,90.62,133.14,530.87,51.55,49.9,44.64,484.01,502.11
312,133.72,221.68,86.98,164.29,131.46,231.59,271.87,434.83,374.45,147.31,223.65,162.7,92.29,133.28,524.59,51.21,50.18,44.48,489.91,497.45
313,132.69,222.42,87.59,162.85,130.55,235.22,273.16,437.85,376.78,148.3,226.87,164.13,91.71,134.85,540.73,52.4,49.99,44.75,487.72,500.12
314,129.41,217.69,86.41,159.33,131.14,243.26,268.94,425.22,380.15,144.27,227.17,162.22,92.3,132.43,522.86,50.51,50.52,43.96,500.0,485.34
315,131.01,217.9,87.05,160.93,134.05,245.04,270.97,428.1,375.74,144.7,229.92,163.41,92.77,131.85,520.8,49.98,50.7,43.98,505.36,485.69
316,126.6,212.25,86.76,156.92,126.15,251.99,263.31,425.46,370.02,142.93,226.66,164.22,90.33,131.53,500.49,50.56,50.91,44.4,490.22,466.31
317,130.92,218.29,89.36,158.11,133.44,272.01,268.74,443.39,367.92,142.47,227.76,167.94,95.16,133.19,508.89,50.66,50.19,44.96,501.43,477.74
318,132.05,219.62,90.36,159.14,132.77,293.34,267.57,445.64,369.94,144.18,233.25,171.16,94.58,135.06,510.4,51.54,50.86,45.06,508.74,485.1
319,128.98,217.49,88.34,155.71,136.22,270.4,256.84,445.76,364.01,142.09,234.02,171.31,97.25,132.93,499.1,51.52,50.56,45.36,507.95,474.24
320,128.8,214.93,87.33,156.04,134.85,283.15,251.09,449.39,364.2,141.43,238.49,172.3,95.36,128.69,494.25,50.01,50.29,45.79,513.93,471.65
321,130.89,216.34,87.72,158.29,135.32,284.8,251.64,451.21,366.95,142.59,237.57,171.41,91.78,128.5,507.79,50.16,50.88,45.36,514.06,472.05
322,128.91,213.02,87.01,156.37,132.0,281.67,245.64,452.07,362.35,141.76,236.59,171.71,90.79,124.69,500.86,49.58,51.29,45.15,544.65,463.27
323,127.14,212.65,86.81,155.21,128.6,275.39,251.36,445.85,362.16,141.39,237.74,169.19,88.21,127.28,497.98,48.69,51.34,45.43,527.5,458.08
324,127.83,216.44,89.54,156.04,130.25,281.52,261.1,459.27,354.47,142.06,241.66,174.19,89.45,129.85,501.77,48.85,52.57,45.19,549.5,456.5
325,132.03,224.34,94.35,163.17,133.66,283.48,267.48,461.88,361.3,141.33,245.49,173.33,88.75,132.3,586.34,48.88,52.24,45.34,549.38,469.73
326,136.87,224.97,94.56,165.35,138.68,281.66,272.87,466.82,362.8,139.61,248.27,175.1,91.53,130.4,579.84,49.13,52.55,45.11,570.74,472.02
327,139.07,225.95,95.05,164.61,137.13,282.21,274.5,465.02,362.3,138.59,252.36,172.81,92.79,130.36,565.17,48.68,53.25,44.77,569.45,472.44
328,142.92,229.53,94.97,164.7,136.53,293.6,278.01,464.79,361.88,140.18,252.03,172.92,94.13,131.1,556.78,48.97,54.01,45.03,567.61,473.44
329,143.16,232.33,95.86,166.31,134.35,294.36,282.05,463.87,364.98,141.8,253.5,171.47,94.71,131.41,561.93,50.09,54.44,45.26,549.0,476.28
330,142.06,232.9,91.54,161.63,129.18,288.05,272.14,444.7,356.39,138.04,257.1,162.93,88.84,123.27,523.28,48.42,52.1,45.7,524.63,460.0
331,137.09,238.93,93.16,161.88,130.51,278.48,265.0,451.74,357.06,139.19,258.6,169.23,87.52,127.77,538.6,51.6,52.04,45.34,547.22,465.67
